96	0.82	28.08   0.00	0.84   1.19    	
97	0.78	26.90   0.00	0.84   1.01    	
;

param : AC: AC_Fase_a   AC_Fase_b   AC_Fase_c        Ra      Ca      Rm      Cm	   Pnom_ac COP_nom Tset_casa:=
401	    1	0	0	2.30	3.09	0.92	3.54	2.44	2.75	21
402	    1	0	0	1.59	3.69	0.93	4.39	2.30	3.04	22
403	    0	0	1	1.69	3.93	1.30	4.02	1.84	3.23	23
404	    1	0	0	3.20	3.25	1.51	3.79	2.13	3.06	23
405	    1	0	0	1.55	2.82	0.63	4.05	2.31	2.73	22
406	    0	1	0	1.72	3.08	0.74	2.84	1.98	2.95	22
407	    0	1	0	2.06	2.70	0.83	4.14	1.60	2.93	24
408	    0	0	1	2.31	4.57	0.75	4.06	2.34	2.64	25
409	    0	1	0	2.02	3.09	1.25	3.03	1.93	2.84	23
410	    1	0	0	2.00	3.47	0.79	4.13	1.71	2.91	23
411	    0	1	0	2.34	2.98	0.76	5.62	1.76	3.12	25
412	    0	0	1	2.31	3.25	0.94	6.60	1.51	2.93	23
;

param: BAT : potencia_nom_bat_max	 potencia_nom_bat_min        capacidade_bat	   BAT_Fase_a		BAT_Fase_b		BAT_Fase_c	:=
401	        5	0   13.5	1	0	0
402	        5	0   13.5	1	0	0
403	        5	0   13.5	0	0	1
404	        5	0   13.5	1	0	0
405	        5	0   13.5	1	0	0
406	        5	0   13.5	0	1	0
407	        5	0   13.5	0	1	0
408	        5	0   13.5	0	0	1
409	        5	0   13.5	0	1	0
410	        5	0   13.5	1	0	0
411	        5	0   13.5	0	1	0
412	        5	0   13.5	0	0	1
;

# Painéis fotovoltaicos

param: PFV: 	potencia_nom_pfv	eficiencia_pfv 	  num_placas_pfv	    area_pfv		PFV_Fase_a		PFV_Fase_b		PFV_Fase_c:=
401	    0.300	0.1836	12	1.6616	1	0	0
402	    0.300	0.1836	17	1.6616	1	0	0
403	    0.300	0.1836	6	1.6616	0	0	1
404	    0.300	0.1836	12	1.6616	1	0	0
405	    0.300	0.1836	14	1.6616	1	0	0
406	    0.300	0.1836	19	1.6616	0	1	0
407	    0.300	0.1836	16	1.6616	0	1	0
408	    0.300	0.1836	7	1.6616	0	0	1
409	    0.300	0.1836	18	1.6616	0	1	0
410	    0.300	0.1836	17	1.6616	1	0	0
411	    0.300	0.1836	10	1.6616	0	1	0
412	    0.300	0.1836	9	1.6616	0	0	1
;

# Eficiênca!!! dos PFVs é 0.1733;
# Pot BAT é 5;

# Tensões mínima e máxima do sistema em p.u.
let Vmino := 0.90;
let Vmaxo := 1.05;
